mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4870136260986328,0.006182956434091625,0.04956221580505371,0.003899138562835966,5,2,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-99.0,-99.0,-1.4351320925201777e+27,0.7175616222635468,-18.20607667328305,-2.8702641850403555e+26,5.740528370080711e+26,41
0.18764619827270507,0.055922334870434805,0.021347761154174805,0.006050006052220368,5,2,5,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-24.0,-24.0,-1.1414945761589603e+27,0.5927478209837935,-20.7651869393985,-2.2829891523179207e+26,4.565978304635841e+26,14
0.3490398406982422,0.08545304234171712,0.032451295852661134,0.00492048181897384,5,2,5,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-80.0,-80.0,-1.1929352358313007e+27,0.7388238916333744,-19.790803846422648,-2.3858704716626012e+26,4.771740943325202e+26,18
0.5097159385681153,0.010411681651144884,0.047872734069824216,0.0022387792983548606,5,2,5,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-99.0,-99.0,-1.5334687123050176e+27,0.6987578134197382,-20.95391746174954,-3.0669374246100352e+26,6.1338748492200704e+26,53
0.14531526565551758,0.030030326722778455,0.016483211517333986,0.00350531830933813,5,2,10,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",-3.7470186056187245e+22,-24.0,-1.223561966843804e+27,0.4254652401236134,-25.967449045091097,-2.44719887405972e+26,4.894210399340704e+26,27
0.3533946990966797,0.06101929106346046,0.03295378684997559,0.005268897644256751,5,2,10,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-1.5526045370378358e+23,-1.3812351748961536e+22,-1.0905316203442497e+27,0.6350848222724552,-25.728442172354878,-2.1814013862994048e+26,4.361957447889184e+26,9
0.5713819980621337,0.0971452205224631,0.051855039596557614,0.004693498283471978,5,2,10,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-6.18682309415134e+22,-4.842453652390224e+21,-1.4956819503348835e+27,0.5918504098363297,-26.881943922153688,-2.9914973220389546e+26,5.9826610952324165e+26,49
0.14866394996643068,0.020007567804885457,0.017457008361816406,0.004720773744283643,5,4,2,50,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-24.0,-5.524940699396571e+21,-3.234669852375318e+27,0.456657693358578,-30.7596019096804,-6.469350754632034e+26,1.2938673884578266e+27,85
0.30517048835754396,0.06369232647581699,0.028234386444091798,0.0033994533427709676,5,4,2,100,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-4.2962092027063975e+23,-1.3812351751077002e+21,-3.2292534806903496e+27,0.663625239393574,-30.56062573933544,-6.459368965691591e+26,1.2916583027550125e+27,77
0.5507451057434082,0.10341858533341645,0.05368475914001465,0.003938450499206721,5,4,2,200,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-1.227862759131842e+24,-3.453087939297088e+20,-4.021540209534871e+27,0.6423236323837768,-31.27052494788014,-8.045536835205595e+26,1.6084933332917704e+27,101
